Ruby Pyromancer	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	4
Rune Ear Commander	,	3	,	GOLD	,	1000.5000	,	2014-10-10	,	2
Rune Ear Commander	,	3	,	PLATINUM	,	11.0000	,	2014-10-10	,	2
Runic Monolith	,	3	,	GOLD	,	1001.0000	,	2014-10-10	,	2
Runts of the Litter	,	2	,	GOLD	,	42.5000	,	2014-10-10	,	8
Runts of the Litter	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	4
Sabotage	,	4	,	PLATINUM	,	105.5000	,	2014-10-10	,	4
Sapper's Charge	,	2	,	GOLD	,	118.7500	,	2014-10-10	,	4
Sapper's Charge	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	1
Sapphire Aura	,	2	,	GOLD	,	79.0000	,	2014-10-10	,	5
Savage Raider	,	2	,	GOLD	,	102.2222	,	2014-10-10	,	9
Scrap Welder	,	2	,	GOLD	,	71.6667	,	2014-10-10	,	3
Scrap Welder	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	1
Secret Laboratory	,	3	,	PLATINUM	,	14.0000	,	2014-10-10	,	1
Secret Laboratory	,	3	,	GOLD	,	2000.0000	,	2014-10-10	,	2
Sensei of the Wounded Petal	,	3	,	GOLD	,	110.0000	,	2014-10-10	,	1
Servant of Shathak	,	4	,	PLATINUM	,	62.0000	,	2014-10-10	,	4
Shadow Rend	,	3	,	GOLD	,	114.0000	,	2014-10-10	,	1
Shadowgrove Witch	,	2	,	GOLD	,	93.7500	,	2014-10-10	,	4
Shamed Gladiator	,	3	,	PLATINUM	,	11.0000	,	2014-10-10	,	1
Shamed Gladiator	,	3	,	GOLD	,	557.0000	,	2014-10-10	,	5
Shellsafe Sure Shot	,	3	,	GOLD	,	2600.0000	,	2014-10-10	,	2
Shin'hare Eulogist	,	3	,	GOLD	,	1226.0000	,	2014-10-10	,	4
Shin'hare Eulogist	,	3	,	PLATINUM	,	19.0000	,	2014-10-10	,	2
Shin'hare Militia	,	2	,	GOLD	,	61.0000	,	2014-10-10	,	8
Shrewd Manipulation	,	4	,	PLATINUM	,	31.0000	,	2014-10-10	,	2
Shrine of Prosperity	,	4	,	PLATINUM	,	150.0000	,	2014-10-10	,	1
Shroomshaw	,	2	,	GOLD	,	73.7143	,	2014-10-10	,	14
Shroomtank	,	2	,	GOLD	,	183.3333	,	2014-10-10	,	3
Shroomtank	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	3
Sky'le Griffin	,	2	,	GOLD	,	50.0000	,	2014-10-10	,	2
Slaughtergear, Renegade War Factory	,	4	,	PLATINUM	,	48.0000	,	2014-10-10	,	1
Sliver of the Immortal Spear	,	4	,	GOLD	,	8000.0000	,	2014-10-10	,	1
Sliver of the Immortal Spear	,	4	,	PLATINUM	,	63.6667	,	2014-10-10	,	6
Sniper of Gawaine	,	2	,	GOLD	,	53.0000	,	2014-10-10	,	5
Solitary Exile	,	3	,	PLATINUM	,	23.1667	,	2014-10-10	,	12
Soothing Breeze	,	2	,	GOLD	,	80.0000	,	2014-10-10	,	4
Soul Marble	,	4	,	PLATINUM	,	279.0000	,	2014-10-10	,	2
Spawn of Othuyeg	,	3	,	PLATINUM	,	26.3333	,	2014-10-10	,	6
Spawn of Othuyeg	,	3	,	GOLD	,	5000.0000	,	2014-10-10	,	1
Spearcliff Cloud Knight	,	4	,	PLATINUM	,	234.0000	,	2014-10-10	,	1
Spearcliff Pegasus	,	2	,	GOLD	,	75.0000	,	2014-10-10	,	1
Spearcliff Pegasus	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	1
Spirit Dance	,	4	,	GOLD	,	14666.3333	,	2014-10-10	,	3
Spirit Dance	,	4	,	PLATINUM	,	156.6667	,	2014-10-10	,	3
Splinter of Azathoth	,	4	,	PLATINUM	,	115.0000	,	2014-10-10	,	1
Stargazer	,	3	,	GOLD	,	1055.5000	,	2014-10-10	,	2
Stoneskin	,	3	,	PLATINUM	,	16.0000	,	2014-10-10	,	2
Stoneskin	,	3	,	GOLD	,	2499.0000	,	2014-10-10	,	1
Stormcall	,	3	,	PLATINUM	,	11.0000	,	2014-10-10	,	1
Succulent Roostasaur	,	3	,	GOLD	,	201.0000	,	2014-10-10	,	1
